dataset,gap,arch,N,MAE_mean,MAE_std
chirp,10,softsign_pca,10,0.4362162917852402,0.08936938022571402
chirp,10,tanh_pca,10,0.44150422513484955,0.08588515247282123
chirp,10,tanh_raw,10,0.5696467936038971,0.09722095721989982
chirp,10,softsign_raw,10,0.5891032338142395,0.09650029865402573
chirp,20,tanh_pca,10,0.46000716686248777,0.10906263535132864
chirp,20,softsign_pca,10,0.4613544583320618,0.10918994514237387
chirp,20,tanh_raw,10,0.5727245360612869,0.09790931409757128
chirp,20,softsign_raw,10,0.5865332067012787,0.09926579786558841
chirp,50,tanh_raw,10,0.6264106154441833,0.0752273883696599
chirp,50,softsign_raw,10,0.6301157236099243,0.07841642044545451
chirp,50,softsign_pca,10,0.6545917093753815,0.10619517122431173
chirp,50,tanh_pca,10,0.6547555059194565,0.10596400815994501
ecg,10,tanh_raw,235,0.9435952369202959,0.067415385002005
ecg,10,softsign_pca,235,0.9493867617972354,0.1099649782601001
ecg,10,tanh_pca,235,0.951275190901249,0.11345730338562433
ecg,10,softsign_raw,235,0.9527100656894927,0.06689660338587353
ecg,20,softsign_pca,235,0.5617010131795356,0.07353697530176014
ecg,20,tanh_pca,235,0.5629641619134457,0.07430214285200135
ecg,20,tanh_raw,235,0.5980600003232347,0.04922691647706659
ecg,20,softsign_raw,235,0.602969671817536,0.05496610534850991
ecg,50,softsign_raw,235,0.3197513262642191,0.08026776832888254
ecg,50,softsign_pca,235,0.3251639190506428,0.07514817691616531
ecg,50,tanh_raw,235,0.32530003272472546,0.07309650938994078
ecg,50,tanh_pca,235,0.3363351083182274,0.07745206275241351
