dataset,gap,variant,MAE_mean,MAE_std,N,RMSE_mean,R2_mean,UNC_mean
chirp,10,AR(2),0.05420093461871143,0.023046762101627566,40,,,
chirp,10,Linear,0.744517594575882,0.09939861851713927,40,,,
chirp,10,softsign_pca,0.4362162917852402,0.08936938022571404,10,0.4921287000179291,0.4493362486362457,0.2685614287853241
chirp,10,softsign_raw,0.5891032338142395,0.09650029865402576,10,0.6590806484222412,0.018944936990737897,0.00714826355688269
chirp,10,tanh_pca,0.44150422513484955,0.08588515247282123,10,0.4979453384876251,0.4356865048408508,0.19451240003108974
chirp,10,tanh_raw,0.5696467936038971,0.09722095721989982,10,0.6370616018772125,0.08576688170433042,0.01026188044343139
chirp,20,AR(2),0.2583089880645275,0.17205601248316799,40,,,
chirp,20,Linear,0.8024237036705018,0.16706528890306652,40,,,
chirp,20,softsign_pca,0.4613544583320618,0.1091899451423739,10,0.5241763979196549,0.3929473519325256,0.2509393110871315
chirp,20,softsign_raw,0.5865332067012787,0.09926579786558841,10,0.6534870743751526,0.06166732311248774,0.0053905784152447605
chirp,20,tanh_pca,0.46000716686248777,0.10906263535132865,10,0.5219548374414444,0.39905222654342654,0.17932804599404334
chirp,20,tanh_raw,0.5727245360612869,0.09790931409757128,10,0.6367625057697296,0.10951636433601375,0.00818890654481942
chirp,50,AR(2),0.5340765595436097,0.1324243015345251,40,,,
chirp,50,Linear,0.7786523818969726,0.09143547601319355,40,,,
chirp,50,softsign_pca,0.6545917093753815,0.10619517122431173,10,0.7418532192707061,-0.2274082660675049,0.32763642966747286
chirp,50,softsign_raw,0.6301157236099243,0.07841642044545451,10,0.7009853184223175,-0.028367674350738503,0.00438519362360235
chirp,50,tanh_pca,0.6547555059194565,0.10596400815994501,10,0.7418673038482666,-0.22819637656211852,0.1866273760795593
chirp,50,tanh_raw,0.6264106154441833,0.0752273883696599,10,0.6970098316669464,-0.0185185432434082,0.014287303574383198
ecg,10,AR(2),0.9589183842882197,0.04707560629443367,940,,,
ecg,10,Linear,0.9814664229433587,0.047188251587589734,940,,,
ecg,10,softsign_pca,0.9493867617972354,0.1099649782601001,235,1.3608298010014472,-0.1755201075939422,0.3629994907119173
ecg,10,softsign_raw,0.9527100656894927,0.06689660338587351,235,1.3684440506265518,-0.16552970181120202,0.029075869397715958
ecg,10,tanh_pca,0.951275190901249,0.11345730338562432,235,1.3654722124972243,-0.18509022453997998,0.3580857353324586
ecg,10,tanh_raw,0.9435952369202959,0.067415385002005,235,1.370352686212418,-0.16954906773059927,0.046058720564271495
ecg,20,AR(2),0.6044375343525663,0.03144495458579328,940,,,
ecg,20,Linear,0.5035702714260588,0.024360035843178113,940,,,
ecg,20,softsign_pca,0.5617010131795356,0.07353697530176015,235,0.984255902564272,-0.026538284027830067,0.2938453793525696
ecg,20,softsign_raw,0.602969671817536,0.05496610534850991,235,0.9684128038426663,0.025397135602666984,0.019394847763791398
ecg,20,tanh_pca,0.5629641619134457,0.07430214285200135,235,0.9837211530259315,-0.026213878012718028,0.28133937821109245
ecg,20,tanh_raw,0.5980600003232347,0.04922691647706659,235,0.9652318891058577,0.031463565217687735,0.021456180887415643
ecg,50,AR(2),0.31526868127762003,0.027274008957546007,940,,,
ecg,50,Linear,0.2535961107370701,0.017926254506596986,940,,,
ecg,50,softsign_pca,0.3251639190506428,0.07514817691616531,235,0.6545482485852343,-0.08337707544894929,0.2652150273006013
ecg,50,softsign_raw,0.3197513262642191,0.08026776832888254,235,0.6365703719727537,-0.0007762069397784285,0.04511751986871608
ecg,50,tanh_pca,0.3363351083182274,0.07745206275241351,235,0.6554983079433441,-0.08721249027455107,0.26503184350564124
ecg,50,tanh_raw,0.32530003272472546,0.07309650938994078,235,0.6370398554396122,-0.004188943416514295,0.035957927483708574
