dataset,gap,arch,N,spearman_rho,spearman_p,auroc_hardwin
chirp,10,softsign_pca,10,0.5878787878787878,0.07387770688865801,0.7619047619047619
chirp,10,softsign_raw,10,0.2606060606060606,0.4670890543863402,0.8095238095238095
chirp,10,tanh_pca,10,0.6363636363636362,0.04791172612997547,0.8571428571428572
chirp,10,tanh_raw,10,0.406060606060606,0.24428229408662638,0.8571428571428571
chirp,20,softsign_pca,10,0.41818181818181815,0.22911284098281892,0.7619047619047619
chirp,20,softsign_raw,10,0.309090909090909,0.38484123026128336,0.6666666666666667
chirp,20,tanh_pca,10,0.4666666666666666,0.17393859716506632,0.8095238095238095
chirp,20,tanh_raw,10,0.29696969696969694,0.4047016712701569,0.5714285714285714
chirp,50,softsign_pca,10,-0.5030303030303029,0.13833369839449197,0.23809523809523808
chirp,50,softsign_raw,10,-0.32121212121212117,0.3654683104386702,0.1904761904761905
chirp,50,tanh_pca,10,-0.32121212121212117,0.3654683104386702,0.3333333333333333
chirp,50,tanh_raw,10,-0.4666666666666666,0.17393859716506632,0.28571428571428575
ecg,10,softsign_pca,235,-0.230533440594746,0.0003662460747453995,0.4751540832049307
ecg,10,softsign_raw,235,0.03185941357596604,0.6270276363648897,0.6175847457627119
ecg,10,tanh_pca,235,-0.22063672593784384,0.0006584087312776388,0.4734206471494607
ecg,10,tanh_raw,235,0.22949966249641687,0.00038984818637694235,0.6716101694915254
ecg,20,softsign_pca,235,-0.32677096914385045,2.9920223402765206e-07,0.35651001540832056
ecg,20,softsign_raw,235,0.17199275060796876,0.008235507970189723,0.7484591679506933
ecg,20,tanh_pca,235,-0.3356107890186505,1.3564012864605983e-07,0.3415832049306626
ecg,20,tanh_raw,235,-0.15881254218794785,0.01480741685999285,0.49855546995377503
ecg,50,softsign_pca,235,0.21019075887449487,0.0011899946458071423,0.7832241910631741
ecg,50,softsign_raw,235,0.6215484479458515,1.6461469968547377e-26,0.8919491525423728
ecg,50,tanh_pca,235,0.16298926461205582,0.012349094913329358,0.7475924499229584
ecg,50,tanh_raw,235,0.5554911370634413,1.9939277102502772e-20,0.8246340523882897
