dataset,gap,window_id,start,MAE_EBM,RMSE_EBM,R2_EBM,MAE_AR2,MAE_Lin,UNC_mean,arch
chirp,10,0,240,0.29376405477523804,0.3174656331539154,0.6804247498512268,0.045663364231586456,0.5671055316925049,0.10168248414993286,softsign_pca
chirp,10,1,149,0.33628740906715393,0.384446382522583,0.5218517780303955,0.04426245763897896,0.6029084920883179,0.2491743266582489,softsign_pca
chirp,10,2,199,0.4421111047267914,0.4945697486400604,0.46788454055786133,0.05201210826635361,0.7566846609115601,0.17629072070121765,softsign_pca
chirp,10,3,132,0.43384963274002075,0.5108497738838196,0.5164980888366699,0.04860437288880348,0.7547295093536377,0.24924533069133759,softsign_pca
chirp,10,4,155,0.5815619826316833,0.6364386677742004,0.3979746699333191,0.06800819933414459,0.8731831312179565,0.25609564781188965,softsign_pca
chirp,10,5,43,0.5195063352584839,0.5917831063270569,0.5031775236129761,0.02348269149661064,0.834471583366394,0.799457848072052,softsign_pca
chirp,10,6,6,0.5276867151260376,0.6150141954421997,0.4525470733642578,0.03514088690280914,0.8637102246284485,0.21668383479118347,softsign_pca
chirp,10,7,179,0.44290846586227417,0.49122852087020874,0.305289626121521,0.08911143243312836,0.7496652007102966,0.2725202143192291,softsign_pca
chirp,10,8,185,0.41695985198020935,0.46579092741012573,0.21349692344665527,0.09853310883045197,0.769305408000946,0.21711930632591248,softsign_pca
chirp,10,9,67,0.3675273656845093,0.41370004415512085,0.43421751260757446,0.03719072416424751,0.6734122037887573,0.14734457433223724,softsign_pca
chirp,20,0,148,0.4412676692008972,0.4988035559654236,0.19991815090179443,0.32835304737091064,0.8116752505302429,0.16304239630699158,softsign_pca
chirp,20,1,145,0.29799214005470276,0.34165158867836,0.6601560115814209,0.10094430297613144,0.5756179094314575,0.14790932834148407,softsign_pca
chirp,20,2,218,0.546683132648468,0.623225212097168,0.229289710521698,0.4865199625492096,0.9230729341506958,0.1583450883626938,softsign_pca
chirp,20,3,28,0.4630802571773529,0.5401802062988281,0.29836755990982056,0.3261867165565491,0.9832935333251953,0.18036781251430511,softsign_pca
chirp,20,4,208,0.6373615860939026,0.7276046276092529,0.25934696197509766,0.6065660715103149,1.1218886375427246,0.28161436319351196,softsign_pca
chirp,20,5,38,0.5855036377906799,0.6471828818321228,0.4211782217025757,0.07257948815822601,0.8177871704101562,0.6245794296264648,softsign_pca
chirp,20,6,158,0.5103014707565308,0.5690072178840637,0.4032728672027588,0.2454012930393219,0.8258336186408997,0.14067034423351288,softsign_pca
chirp,20,7,179,0.4118068218231201,0.4690827429294586,0.39718306064605713,0.1766098439693451,0.6543828248977661,0.22479459643363953,softsign_pca
chirp,20,8,20,0.3826627731323242,0.4333336353302002,0.5368883609771729,0.1461971253156662,0.7068697214126587,0.4587809145450592,softsign_pca
chirp,20,9,84,0.33688509464263916,0.39169231057167053,0.5238726139068604,0.09373202919960022,0.6038154363632202,0.12928883731365204,softsign_pca
chirp,50,0,35,0.6564377546310425,0.758405327796936,-0.4638056755065918,0.5741742849349976,0.851490318775177,0.6980187892913818,softsign_pca
chirp,50,1,8,0.6584270596504211,0.746888279914856,-0.6751888990402222,0.5067086219787598,0.6601512432098389,0.2914089262485504,softsign_pca
chirp,50,2,138,0.7138934135437012,0.8027315139770508,-0.46006298065185547,0.6188449263572693,0.6970342397689819,0.27585697174072266,softsign_pca
chirp,50,3,130,0.6630510091781616,0.7516128420829773,0.03256350755691528,0.600323498249054,0.7758808135986328,0.15443703532218933,softsign_pca
chirp,50,4,63,0.808555543422699,0.9070132970809937,-0.2857344150543213,0.6961471438407898,0.8705587983131409,0.3033062219619751,softsign_pca
chirp,50,5,48,0.5720874667167664,0.6347620487213135,0.44188302755355835,0.35279083251953125,0.8237278461456299,0.39635223150253296,softsign_pca
chirp,50,6,142,0.7771799564361572,0.8739542961120605,-0.4281933307647705,0.6656678915023804,0.9538366794586182,0.1357511579990387,softsign_pca
chirp,50,7,32,0.4335218071937561,0.49183356761932373,0.548944354057312,0.251755952835083,0.6752387881278992,0.5103147029876709,softsign_pca
chirp,50,8,34,0.6660322546958923,0.7616357803344727,-0.5323596000671387,0.558091938495636,0.7557029724121094,0.33650702238082886,softsign_pca
chirp,50,9,93,0.5967308282852173,0.6896952390670776,-0.45212864875793457,0.5162605047225952,0.7229021191596985,0.17441123723983765,softsign_pca
