dataset,gap,window_id,start,MAE_EBM,RMSE_EBM,R2_EBM,MAE_AR2,MAE_Lin,UNC_mean,arch
chirp,10,0,240,0.2953585982322693,0.3218733072280884,0.6714891791343689,0.045663364231586456,0.5671055316925049,0.09283185005187988,tanh_pca
chirp,10,1,149,0.36301949620246887,0.4093534052371979,0.45788949728012085,0.04426245763897896,0.6029084920883179,0.20678262412548065,tanh_pca
chirp,10,2,199,0.4371216297149658,0.4859716296195984,0.4862253665924072,0.05201210826635361,0.7566846609115601,0.14334836602210999,tanh_pca
chirp,10,3,132,0.45443421602249146,0.5328046083450317,0.474045991897583,0.04860437288880348,0.7547295093536377,0.2517238259315491,tanh_pca
chirp,10,4,155,0.579704761505127,0.636112630367279,0.39859139919281006,0.06800819933414459,0.8731831312179565,0.16981109976768494,tanh_pca
chirp,10,5,43,0.5253032445907593,0.6001542210578918,0.489022433757782,0.02348269149661064,0.834471583366394,0.4753817617893219,tanh_pca
chirp,10,6,6,0.5246448516845703,0.6111191511154175,0.4594595432281494,0.03514088690280914,0.8637102246284485,0.21523237228393555,tanh_pca
chirp,10,7,179,0.4468560814857483,0.49568307399749756,0.2926329970359802,0.08911143243312836,0.7496652007102966,0.13790646195411682,tanh_pca
chirp,10,8,185,0.418407142162323,0.46776172518730164,0.20682740211486816,0.09853310883045197,0.769305408000946,0.1099720448255539,tanh_pca
chirp,10,9,67,0.3701922297477722,0.41861963272094727,0.4206812381744385,0.03719072416424751,0.6734122037887573,0.14213359355926514,tanh_pca
chirp,20,0,148,0.4353622496128082,0.49162396788597107,0.22278451919555664,0.32835304737091064,0.8116752505302429,0.15720568597316742,tanh_pca
chirp,20,1,145,0.29950112104415894,0.3424287438392639,0.6586081385612488,0.10094430297613144,0.5756179094314575,0.12832729518413544,tanh_pca
chirp,20,2,218,0.5537270307540894,0.6286165714263916,0.21589750051498413,0.4865199625492096,0.9230729341506958,0.1677500605583191,tanh_pca
chirp,20,3,28,0.4441874623298645,0.5156475305557251,0.3606506586074829,0.3261867165565491,0.9832935333251953,0.17040473222732544,tanh_pca
chirp,20,4,208,0.6381497979164124,0.7287429571151733,0.2570275664329529,0.6065660715103149,1.1218886375427246,0.19325929880142212,tanh_pca
chirp,20,5,38,0.5848647356033325,0.6459502577781677,0.4233810305595398,0.07257948815822601,0.8177871704101562,0.2852253317832947,tanh_pca
chirp,20,6,158,0.5065867304801941,0.5640309453010559,0.4136645793914795,0.2454012930393219,0.8258336186408997,0.13525645434856415,tanh_pca
chirp,20,7,179,0.41221562027931213,0.46890348196029663,0.3976436257362366,0.1766098439693451,0.6543828248977661,0.11769143491983414,tanh_pca
chirp,20,8,20,0.3845144510269165,0.4369642436504364,0.5290956497192383,0.1461971253156662,0.7068697214126587,0.3026542663574219,tanh_pca
chirp,20,9,84,0.3409624695777893,0.3966396749019623,0.5117689967155457,0.09373202919960022,0.6038154363632202,0.13550589978694916,tanh_pca
chirp,50,0,35,0.6558219790458679,0.7583051919937134,-0.4634190797805786,0.5741742849349976,0.851490318775177,0.33546218276023865,tanh_pca
chirp,50,1,8,0.6577895283699036,0.7463928461074829,-0.6729674339294434,0.5067086219787598,0.6601512432098389,0.22397373616695404,tanh_pca
chirp,50,2,138,0.7154507637023926,0.8044105172157288,-0.4661771059036255,0.6188449263572693,0.6970342397689819,0.14926554262638092,tanh_pca
chirp,50,3,130,0.6602960824966431,0.7468810677528381,0.04470622539520264,0.600323498249054,0.7758808135986328,0.12410072982311249,tanh_pca
chirp,50,4,63,0.805446982383728,0.9047831296920776,-0.2794194221496582,0.6961471438407898,0.8705587983131409,0.1836850494146347,tanh_pca
chirp,50,5,48,0.5722646117210388,0.6340571045875549,0.4431219696998596,0.35279083251953125,0.8237278461456299,0.16011038422584534,tanh_pca
chirp,50,6,142,0.7796698212623596,0.8761439919471741,-0.4353591203689575,0.6656678915023804,0.9538366794586182,0.12960971891880035,tanh_pca
chirp,50,7,32,0.4335847795009613,0.49257707595825195,0.5475796461105347,0.251755952835083,0.6752387881278992,0.23884724080562592,tanh_pca
chirp,50,8,34,0.6682838201522827,0.7640079259872437,-0.5419195890426636,0.558091938495636,0.7557029724121094,0.18065397441387177,tanh_pca
chirp,50,9,93,0.5989466905593872,0.6911141872406006,-0.45810985565185547,0.5162605047225952,0.7229021191596985,0.1405652016401291,tanh_pca
