dataset,gap,window_id,start,MAE_EBM,RMSE_EBM,R2_EBM,MAE_AR2,MAE_Lin,UNC_mean,arch
ecg,10,0,53,0.9769178628921509,1.4835011959075928,-0.3676185607910156,0.9780952334403992,0.991486668586731,0.18466734886169434,softsign_pca
ecg,10,1,70,1.0468419790267944,1.553313970565796,-0.45129919052124023,1.0250517129898071,1.0274240970611572,0.18690899014472961,softsign_pca
ecg,10,2,164,1.0298017263412476,1.4986947774887085,-0.38343751430511475,1.0101288557052612,1.0065456628799438,0.13100914657115936,softsign_pca
ecg,10,3,112,1.01113760471344,1.5587033033370972,-0.4223884344100952,0.9574877023696899,0.9905315637588501,0.1688358336687088,softsign_pca
ecg,10,4,59,1.0073177814483643,1.5420539379119873,-0.46278834342956543,0.9417179226875305,0.9596951603889465,0.2073962688446045,softsign_pca
ecg,10,5,161,0.8232812881469727,1.0645217895507812,0.3150683045387268,0.9613601565361023,1.0352461338043213,0.6619241237640381,softsign_pca
ecg,10,6,33,0.9391518831253052,1.290953516960144,-0.007301211357116699,0.9547193646430969,1.0352461338043213,0.15680328011512756,softsign_pca
ecg,10,7,52,1.0125161409378052,1.5026248693466187,-0.3606973886489868,0.9817485809326172,1.0284199714660645,0.23553840816020966,softsign_pca
ecg,10,8,148,0.8637092709541321,1.137089729309082,0.21800142526626587,0.9384809732437134,1.0010497570037842,0.4028242230415344,softsign_pca
ecg,10,9,20,0.9415154457092285,1.3902934789657593,-0.16904008388519287,0.9422805905342102,1.0010497570037842,0.07993751764297485,softsign_pca
ecg,10,10,44,1.0405662059783936,1.5609698295593262,-0.5085083246231079,0.9471737742424011,0.9965078234672546,0.15290506184101105,softsign_pca
ecg,10,11,136,0.9811406135559082,1.5050228834152222,-0.3288443088531494,0.9856148958206177,1.0223727226257324,0.14982663094997406,softsign_pca
ecg,10,12,8,0.9828157424926758,1.336857557296753,-0.04847514629364014,0.9929319620132446,1.0223727226257324,0.18435457348823547,softsign_pca
ecg,10,13,101,1.015053153038025,1.5522207021713257,-0.3652820587158203,0.956800103187561,1.018674612045288,0.41411638259887695,softsign_pca
ecg,10,14,120,1.004922866821289,1.536993145942688,-0.41127705574035645,0.9538291096687317,0.9969496726989746,0.17900511622428894,softsign_pca
ecg,10,15,133,1.054525375366211,1.5498731136322021,-0.3953280448913574,1.0296714305877686,1.0316240787506104,0.21455037593841553,softsign_pca
ecg,10,16,75,1.0065863132476807,1.5265018939971924,-0.4131312370300293,0.9842883348464966,1.0014803409576416,0.12667216360569,softsign_pca
ecg,10,17,157,0.7679780721664429,0.9804723858833313,0.4351351857185364,0.9499903917312622,1.0125298500061035,0.817895770072937,softsign_pca
ecg,10,18,29,0.9237034916877747,1.3680118322372437,-0.0996474027633667,0.9497319459915161,1.0125298500061035,0.32015931606292725,softsign_pca
ecg,10,19,45,1.00100839138031,1.5147571563720703,-0.4255053997039795,0.9489763975143433,0.9766092300415039,0.15411610901355743,softsign_pca
ecg,10,20,144,0.98639315366745,1.5186327695846558,-0.3780698776245117,0.9703483581542969,0.9923335909843445,0.22850915789604187,softsign_pca
ecg,10,21,16,0.9655746221542358,1.3381861448287964,-0.07003700733184814,0.9781008958816528,0.9923335909843445,0.14183436334133148,softsign_pca
ecg,10,22,99,1.0093883275985718,1.536651849746704,-0.44813966751098633,0.9889557957649231,1.0053374767303467,0.15606185793876648,softsign_pca
ecg,10,23,113,1.0057035684585571,1.5400748252868652,-0.4504847526550293,0.9477189779281616,0.9760578870773315,0.2577708661556244,softsign_pca
ecg,10,24,54,0.9623022079467773,1.5076545476913452,-0.43241024017333984,0.8860886693000793,0.946820855140686,0.15425777435302734,softsign_pca
ecg,10,25,72,1.0250892639160156,1.538411259651184,-0.4579721689224243,0.9519587755203247,1.0095679759979248,1.9322274923324585,softsign_pca
