dataset,gap,arch,MAE_EBM,RMSE_EBM,R2_EBM,CORR_EBM,MAE_AR2,MAE_Lin,UNC_mean,N
chirp,10,lsm_rates,0.4568901598453522,0.5161618381738663,0.3886580169200897,0.7424259662628174,0.05420093461871147,0.744517594575882,0.1871851332485676,10
chirp,10,lsm_spikes,0.45198805034160616,0.5097529083490372,0.40771196484565736,0.7488945722579956,0.05420093461871147,0.744517594575882,0.19453000351786615,10
chirp,10,softsign_pca,0.4412710428237915,0.496519011259079,0.438986200094223,0.7698340058326721,0.05420093461871147,0.744517594575882,0.19104284644126893,10
chirp,10,softsign_raw,0.5867214858531952,0.6563794016838074,0.025863343477249147,0.4874671369791031,0.05420093461871147,0.744517594575882,0.010151847987435758,10
chirp,10,tanh_pca,0.44284373223781587,0.4989228338003159,0.4339150846004486,0.765637320280075,0.05420093461871147,0.744517594575882,0.171535874158144,10
chirp,10,tanh_raw,0.5696153044700623,0.6368294298648834,0.08534663915634155,0.6481357336044311,0.05420093461871147,0.744517594575882,0.00995976384729147,10
chirp,20,lsm_rates,0.46941712498664856,0.5335692197084427,0.37109829783439635,0.684576404094696,0.2583089880645275,0.8024237036705018,0.1332251586019993,10
chirp,20,lsm_spikes,0.46500868499279024,0.5290049284696579,0.3828893661499023,0.6931266069412232,0.2583089880645275,0.8024237036705018,0.1431200124323368,10
chirp,20,softsign_pca,0.46023323833942414,0.5215701490640641,0.4001639783382416,0.700564157962799,0.2583089880645275,0.8024237036705018,0.17072765231132508,10
chirp,20,softsign_raw,0.583310604095459,0.6508462607860566,0.06925447583198548,0.42514966428279877,0.2583089880645275,0.8024237036705018,0.007249045162461698,10
chirp,20,tanh_pca,0.4601754754781723,0.5215268611907959,0.4004748106002808,0.703477144241333,0.2583089880645275,0.8024237036705018,0.15155875086784362,10
chirp,20,tanh_raw,0.5720225811004639,0.6365482926368713,0.1101294219493866,0.594349843263626,0.2583089880645275,0.8024237036705018,0.007609109999611974,10
chirp,50,lsm_rates,0.6576637834310531,0.7449706017971038,-0.23906981348991393,0.059246224164962766,0.5340765595436097,0.7786523818969726,0.11716004684567452,10
chirp,50,lsm_spikes,0.6561602115631103,0.7440817415714264,-0.23727248907089232,0.057905154675245284,0.5340765595436097,0.7786523818969726,0.1241296611726284,10
chirp,50,softsign_pca,0.6544836223125458,0.7413231790065765,-0.22534926533699035,0.06392029523849488,0.5340765595436097,0.7786523818969726,0.1630047842860222,10
