dataset,gap,A,B,N,p_raw,dz,cliffs_delta,p_holm
chirp,10,softsign_raw,tanh_raw,10,0.001953125,3.4223754895270644,0.16,0.013671875
chirp,10,lsm_spikes,tanh_raw,10,0.001953125,-2.318030183382987,-0.64,0.015625
chirp,10,softsign_pca,softsign_raw,10,0.001953125,-2.88237264129004,-0.74,0.017578125
chirp,10,lsm_spikes,tanh_pca,10,0.00390625,1.0423622334132645,0.14,0.01953125
chirp,10,softsign_pca,tanh_raw,10,0.001953125,-2.6155678728402227,-0.68,0.01953125
chirp,10,softsign_raw,tanh_pca,10,0.001953125,2.8047198431966263,0.74,0.021484375
chirp,10,lsm_spikes,softsign_pca,10,0.00390625,0.9584135102457865,0.14,0.0234375
chirp,10,tanh_pca,tanh_raw,10,0.001953125,-2.544777107678209,-0.68,0.0234375
chirp,10,lsm_spikes,softsign_raw,10,0.001953125,-2.5782761322207115,-0.7,0.025390625
chirp,10,lsm_rates,tanh_raw,10,0.001953125,-1.8943706451189486,-0.54,0.02734375
chirp,10,lsm_rates,softsign_raw,10,0.001953125,-2.1378717876198015,-0.68,0.029296875
chirp,10,lsm_rates,softsign_pca,10,0.064453125,0.781623270166564,0.16,0.193359375
chirp,10,lsm_rates,tanh_pca,10,0.048828125,0.797432293964926,0.12,0.1953125
chirp,10,lsm_rates,lsm_spikes,10,0.431640625,0.3272603284403636,0.04,0.431640625
chirp,10,softsign_pca,tanh_pca,10,0.322265625,-0.40600688860353945,-0.06,0.64453125
chirp,20,softsign_raw,tanh_raw,10,0.001953125,2.4745708408844607,0.16,0.013671875
chirp,20,lsm_spikes,tanh_raw,10,0.001953125,-2.357640569432382,-0.52,0.015625
chirp,20,softsign_pca,softsign_raw,10,0.001953125,-2.5097832474877726,-0.58,0.017578125
chirp,20,softsign_pca,tanh_raw,10,0.001953125,-2.388013946660364,-0.52,0.01953125
chirp,20,softsign_raw,tanh_pca,10,0.001953125,2.4954436494251433,0.58,0.021484375
chirp,20,tanh_pca,tanh_raw,10,0.001953125,-2.378372188168191,-0.54,0.0234375
chirp,20,lsm_spikes,softsign_raw,10,0.001953125,-2.483156877907798,-0.56,0.025390625
chirp,20,lsm_rates,tanh_raw,10,0.001953125,-1.9849504324996528,-0.54,0.02734375
chirp,20,lsm_rates,softsign_raw,10,0.001953125,-2.1111411174804573,-0.54,0.029296875
chirp,20,lsm_rates,tanh_pca,10,0.009765625,1.1404317169150313,0.08,0.048828125
chirp,20,lsm_rates,softsign_pca,10,0.009765625,1.0363798600831213,0.08,0.05859375
chirp,20,lsm_spikes,tanh_pca,10,0.048828125,0.8764059625958588,0.06,0.146484375
chirp,20,lsm_spikes,softsign_pca,10,0.037109375,0.7725382398232054,0.08,0.1484375
chirp,20,lsm_rates,lsm_spikes,10,0.232421875,0.45825081071377344,0.04,0.46484375
chirp,20,softsign_pca,tanh_pca,10,0.921875,0.02396969892863693,0.0,0.921875
chirp,50,softsign_raw,tanh_raw,10,0.001953125,1.3000247574309822,0.18,0.029296875
chirp,50,lsm_rates,tanh_pca,10,0.01953125,0.8219437639007786,0.12,0.2734375
chirp,50,lsm_rates,softsign_pca,10,0.048828125,0.7556934219095092,0.1,0.634765625
chirp,50,softsign_raw,tanh_pca,10,0.4921875,-0.20798837355705405,-0.16,0.984375
chirp,50,lsm_rates,lsm_spikes,10,0.083984375,0.5893484847733942,0.04,1.0
chirp,50,lsm_rates,softsign_raw,10,0.4921875,0.23266537072034213,0.16,1.0
