dataset,gap,window_id,start,MAE_EBM,RMSE_EBM,R2_EBM,CORR_EBM,MAE_AR2,CORR_AR2,MAE_Lin,UNC_mean,arch
chirp,10,0,240,0.5082330703735352,0.544064462184906,0.06140017509460449,0.8791828155517578,0.045663364231586456,0.9951178431510925,0.5671055316925049,0.003383657429367304,tanh_raw
chirp,10,1,149,0.4411766529083252,0.5077747702598572,0.16587096452713013,0.5612465143203735,0.04426245763897896,0.9954912662506104,0.6029084920883179,0.013090170919895172,tanh_raw
chirp,10,2,199,0.6200141906738281,0.6755681037902832,0.0071375370025634766,0.6446738243103027,0.05201210826635361,0.9963117241859436,0.7566846609115601,0.0042993491515517235,tanh_raw
chirp,10,3,132,0.5898444056510925,0.6673477292060852,0.17488181591033936,0.603687047958374,0.04860437288880348,0.9974255561828613,0.7547295093536377,0.01476752758026123,tanh_raw
chirp,10,4,155,0.6953975558280945,0.7915650606155396,0.06873154640197754,0.614027738571167,0.06800819933414459,0.9962455630302429,0.8731831312179565,0.01228182204067707,tanh_raw
chirp,10,5,43,0.6673476696014404,0.7670443058013916,0.1653258204460144,0.6297720074653625,0.02348269149661064,0.9998415112495422,0.834471583366394,0.02055581659078598,tanh_raw
chirp,10,6,6,0.6934477090835571,0.7716038823127747,0.13828182220458984,0.7018832564353943,0.03514088690280914,0.9995739459991455,0.8637102246284485,0.009171086363494396,tanh_raw
chirp,10,7,179,0.5261901617050171,0.584152340888977,0.017598867416381836,0.6026769876480103,0.08911143243312836,0.9861347079277039,0.7496652007102966,0.009549833834171295,tanh_raw
chirp,10,8,185,0.4773741364479065,0.5346910357475281,-0.0363922119140625,0.5829207301139832,0.09853310883045197,0.9734688401222229,0.769305408000946,0.00636430224403739,tanh_raw
chirp,10,9,67,0.4771274924278259,0.5244826078414917,0.09063005447387695,0.6612864136695862,0.03719072416424751,0.9981341361999512,0.6734122037887573,0.006134072318673134,tanh_raw
chirp,20,0,148,0.4742501676082611,0.5338564515113831,0.08351713418960571,0.5172170996665955,0.32835304737091064,0.7195967435836792,0.8116752505302429,0.005333620123565197,tanh_raw
chirp,20,1,145,0.48549914360046387,0.5348169207572937,0.16723400354385376,0.8388677835464478,0.10094430297613144,0.9785270094871521,0.5756179094314575,0.004227150231599808,tanh_raw
chirp,20,2,218,0.6043915748596191,0.683232843875885,0.07372778654098511,0.49076762795448303,0.4865199625492096,0.6114734411239624,0.9230729341506958,0.007046268321573734,tanh_raw
chirp,20,3,28,0.5469987392425537,0.6051187515258789,0.11953210830688477,0.6020612120628357,0.3261867165565491,0.7927315831184387,0.9832935333251953,0.008285632357001305,tanh_raw
chirp,20,4,208,0.7154853940010071,0.806312084197998,0.09044229984283447,0.5182729363441467,0.6065660715103149,0.560656726360321,1.1218886375427246,0.01030487660318613,tanh_raw
chirp,20,5,38,0.7414499521255493,0.8149808049201965,0.08212077617645264,0.6256741285324097,0.07257948815822601,0.9979915618896484,0.8177871704101562,0.008922548964619637,tanh_raw
chirp,20,6,158,0.630886435508728,0.6969438791275024,0.10476744174957275,0.5513890981674194,0.2454012930393219,0.916748046875,0.8258336186408997,0.005792673677206039,tanh_raw
chirp,20,7,179,0.5091077089309692,0.5743017196655273,0.09641963243484497,0.45547202229499817,0.1766098439693451,0.936348557472229,0.6543828248977661,0.006316109094768763,tanh_raw
chirp,20,8,20,0.5356541275978088,0.5911687016487122,0.13808637857437134,0.719310998916626,0.1461971253156662,0.9683322310447693,0.7068697214126587,0.014265218749642372,tanh_raw
chirp,20,9,84,0.47650256752967834,0.5247507691383362,0.14544665813446045,0.6244655251502991,0.09373202919960022,0.9826571941375732,0.6038154363632202,0.005597001872956753,tanh_raw
chirp,50,0,35,0.5767075419425964,0.645746111869812,-0.06121718883514404,-0.16341271996498108,0.5741742849349976,0.048346467316150665,0.851490318775177,0.024947183206677437,tanh_raw
chirp,50,1,8,0.5444543957710266,0.6057970523834229,-0.10206401348114014,-0.27758288383483887,0.5067086219787598,0.215142160654068,0.6601512432098389,0.014347740449011326,tanh_raw
chirp,50,2,138,0.6190457940101624,0.6863639950752258,-0.06743133068084717,-0.25130873918533325,0.6188449263572693,0.10747866332530975,0.6970342397689819,0.006162005476653576,tanh_raw
chirp,50,3,130,0.6775453686714172,0.7528220415115356,0.02944815158843994,0.2266593873500824,0.600323498249054,0.3758241534233093,0.7758808135986328,0.004238972440361977,tanh_raw
chirp,50,4,63,0.7305251359939575,0.8132140040397644,-0.03355526924133301,-0.11285118013620377,0.6961471438407898,0.21821381151676178,0.8705587983131409,0.01648883894085884,tanh_raw
chirp,50,5,48,0.731843113899231,0.8076764941215515,0.09639590978622437,0.7904356122016907,0.35279083251953125,0.8883506655693054,0.8237278461456299,0.004632215481251478,tanh_raw
chirp,50,6,142,0.6818207502365112,0.7598661184310913,-0.0796518325805664,-0.28547993302345276,0.6656678915023804,0.05927840620279312,0.9538366794586182,0.0057089789770543575,tanh_raw
chirp,50,7,32,0.6108924150466919,0.6788192391395569,0.14078444242477417,0.8396974802017212,0.251755952835083,0.9326876997947693,0.6752387881278992,0.016998838633298874,tanh_raw
chirp,50,8,34,0.5744988918304443,0.6402079463005066,-0.08269989490509033,-0.2514279782772064,0.558091938495636,0.1248989924788475,0.7557029724121094,0.007577727548778057,tanh_raw
chirp,50,9,93,0.5233401656150818,0.5863848328590393,-0.04967808723449707,-0.13484299182891846,0.5162605047225952,0.12814931571483612,0.7229021191596985,0.006938351318240166,tanh_raw
