dataset,gap,A,B,p_raw,p_holm,cohen_dz,cliffs_delta,N
chirp,10,softsign_raw,tanh_raw,0.001953125,0.013671875,3.4223754895270644,1.0,10
chirp,10,lsm_spikes,tanh_raw,0.001953125,0.015625,-2.3180301833829864,-1.0,10
chirp,10,softsign_pca,softsign_raw,0.001953125,0.017578125,-2.8823726412900403,-1.0,10
chirp,10,lsm_spikes,tanh_pca,0.00390625,0.01953125,1.042362233413265,0.8,10
chirp,10,softsign_pca,tanh_raw,0.001953125,0.01953125,-2.6155678728402227,-1.0,10
chirp,10,softsign_raw,tanh_pca,0.001953125,0.021484375,2.8047198431966263,1.0,10
chirp,10,lsm_spikes,softsign_pca,0.00390625,0.0234375,0.958413510245788,0.8,10
chirp,10,tanh_pca,tanh_raw,0.001953125,0.0234375,-2.544777107678209,-1.0,10
chirp,10,lsm_spikes,softsign_raw,0.001953125,0.025390625,-2.578276132220712,-1.0,10
chirp,10,lsm_rates,tanh_raw,0.001953125,0.02734375,-1.8943706451189481,-1.0,10
chirp,10,lsm_rates,softsign_raw,0.001953125,0.029296875,-2.137871787619801,-1.0,10
chirp,10,lsm_rates,softsign_pca,0.064453125,0.193359375,0.7816232701665647,0.6,10
chirp,10,lsm_rates,tanh_pca,0.048828125,0.1953125,0.7974322939649263,0.6,10
chirp,10,lsm_rates,lsm_spikes,0.431640625,0.431640625,0.32726032844036446,0.2,10
chirp,10,softsign_pca,tanh_pca,0.322265625,0.64453125,-0.40600688860353773,-0.4,10
chirp,20,softsign_raw,tanh_raw,0.001953125,0.013671875,2.47457084088446,1.0,10
chirp,20,lsm_spikes,tanh_raw,0.001953125,0.015625,-2.3576405694323825,-1.0,10
chirp,20,softsign_pca,softsign_raw,0.001953125,0.017578125,-2.509783247487773,-1.0,10
chirp,20,softsign_pca,tanh_raw,0.001953125,0.01953125,-2.3880139466603625,-1.0,10
chirp,20,softsign_raw,tanh_pca,0.001953125,0.021484375,2.495443649425143,1.0,10
chirp,20,tanh_pca,tanh_raw,0.001953125,0.0234375,-2.3783721881681896,-1.0,10
chirp,20,lsm_spikes,softsign_raw,0.001953125,0.025390625,-2.483156877907799,-1.0,10
chirp,20,lsm_rates,tanh_raw,0.001953125,0.02734375,-1.9849504324996519,-1.0,10
chirp,20,lsm_rates,softsign_raw,0.001953125,0.029296875,-2.1111411174804573,-1.0,10
chirp,20,lsm_rates,tanh_pca,0.009765625,0.048828125,1.1404317169150304,0.6,10
chirp,20,lsm_rates,softsign_pca,0.009765625,0.05859375,1.036379860083118,0.6,10
chirp,20,lsm_spikes,tanh_pca,0.048828125,0.146484375,0.8764059625958583,0.6,10
chirp,20,lsm_spikes,softsign_pca,0.037109375,0.1484375,0.7725382398232057,0.8,10
chirp,20,lsm_rates,lsm_spikes,0.232421875,0.46484375,0.45825081071377083,0.2,10
chirp,20,softsign_pca,tanh_pca,0.921875,0.921875,0.023969698928639323,0.0,10
chirp,50,softsign_raw,tanh_raw,0.001953125,0.029296875,1.3000247574309822,1.0,10
chirp,50,lsm_rates,tanh_pca,0.01953125,0.2734375,0.8219437639007786,0.8,10
chirp,50,lsm_rates,softsign_pca,0.048828125,0.634765625,0.7556934219095092,0.6,10
chirp,50,softsign_raw,tanh_pca,0.4921875,0.984375,-0.20798837355705405,-0.4,10
chirp,50,lsm_rates,lsm_spikes,0.083984375,1.0,0.5893484847733935,0.6,10
chirp,50,lsm_rates,softsign_raw,0.4921875,1.0,0.23266537072034213,0.4,10
chirp,50,lsm_rates,tanh_raw,0.4921875,1.0,0.2780373683628952,0.4,10
chirp,50,lsm_spikes,softsign_pca,0.232421875,1.0,0.389267461490143,0.2,10
chirp,50,lsm_spikes,softsign_raw,0.4921875,1.0,0.2180776436671246,0.4,10
chirp,50,lsm_spikes,tanh_pca,0.193359375,1.0,0.4183254468355096,0.2,10
chirp,50,lsm_spikes,tanh_raw,0.4921875,1.0,0.2627660459348016,0.4,10
chirp,50,softsign_pca,softsign_raw,0.4921875,1.0,0.20733935621361788,0.4,10
chirp,50,softsign_pca,tanh_pca,1.0,1.0,-0.16147411811426732,0.2,10
chirp,50,softsign_pca,tanh_raw,0.4921875,1.0,0.252669116894751,0.4,10
chirp,50,tanh_pca,tanh_raw,0.4921875,1.0,0.25322451158576037,0.4,10
ecg,10,lsm_rates,tanh_pca,9.033426482479762e-38,1.3550139723719643e-36,-1.1448367108185291,-0.9234042553191489,235
ecg,10,lsm_rates,softsign_pca,6.141021266343303e-36,8.597429772880625e-35,-0.8650622925197571,-0.8468085106382979,235
ecg,10,lsm_spikes,tanh_pca,2.9272575626431496e-35,3.8054348314360945e-34,-1.0239967567825252,-0.9319148936170213,235
