dataset,gap,window_id,start,MAE_EBM,RMSE_EBM,R2_EBM,CORR_EBM,MAE_AR2,CORR_AR2,MAE_Lin,UNC_mean,arch
ecg,10,0,53,0.9723169207572937,1.4723259210586548,-0.34709155559539795,0.26166340708732605,0.9780952334403992,0.15387794375419617,0.991486668586731,0.15253350138664246,softsign_pca
ecg,10,1,70,1.036284327507019,1.5411077737808228,-0.4285796880722046,0.11654014140367508,1.0250517129898071,0.353258341550827,1.0274240970611572,0.16019046306610107,softsign_pca
ecg,10,2,164,1.0191607475280762,1.483960747718811,-0.35636937618255615,0.09393895417451859,1.0101288557052612,-0.081575408577919,1.0065456628799438,0.11477561295032501,softsign_pca
ecg,10,3,112,0.9988926649093628,1.5432054996490479,-0.3942441940307617,0.3327317237854004,0.9574877023696899,-0.1344400942325592,0.9905315637588501,0.14321807026863098,softsign_pca
ecg,10,4,59,0.9866558909416199,1.523353099822998,-0.4275243282318115,0.22522185742855072,0.9417179226875305,0.1333751380443573,0.9596951603889465,0.16093036532402039,softsign_pca
ecg,10,5,161,0.8234036564826965,1.060520887374878,0.32020723819732666,0.6512355804443359,0.9613601565361023,0.17501437664031982,1.0352461338043213,0.670437216758728,softsign_pca
ecg,10,6,33,0.9410201907157898,1.2785592079162598,0.011947870254516602,0.5246849656105042,0.9547193646430969,0.35283946990966797,1.0352461338043213,0.157550647854805,softsign_pca
ecg,10,7,52,1.0078117847442627,1.4968786239624023,-0.3503100872039795,0.1549576222896576,0.9817485809326172,0.3845987915992737,1.0284199714660645,0.22004088759422302,softsign_pca
ecg,10,8,148,0.8639957308769226,1.1338270902633667,0.2224825620651245,0.5416660904884338,0.9384809732437134,0.3103296756744385,1.0010497570037842,0.4142115116119385,softsign_pca
ecg,10,9,20,0.9420691728591919,1.3779315948486328,-0.14834344387054443,0.3418395519256592,0.9422805905342102,0.23514053225517273,1.0010497570037842,0.066507488489151,softsign_pca
ecg,10,10,44,1.020970106124878,1.5427303314208984,-0.4734610319137573,0.5068166255950928,0.9471737742424011,-0.045054320245981216,0.9965078234672546,0.11307433992624283,softsign_pca
ecg,10,11,136,0.9781902432441711,1.498199462890625,-0.3168221712112427,0.3450879156589508,0.9856148958206177,0.38979122042655945,1.0223727226257324,0.14195510745048523,softsign_pca
ecg,10,12,8,0.9824279546737671,1.3275222778320312,-0.03388321399688721,0.39167383313179016,0.9929319620132446,0.2808263599872589,1.0223727226257324,0.19971318542957306,softsign_pca
ecg,10,13,101,1.0085017681121826,1.5445482730865479,-0.3518185615539551,0.1379421055316925,0.956800103187561,0.14618416130542755,1.018674612045288,0.3960850238800049,softsign_pca
ecg,10,14,120,0.9860459566116333,1.5207858085632324,-0.3816707134246826,0.47664159536361694,0.9538291096687317,0.06933310627937317,0.9969496726989746,0.15305550396442413,softsign_pca
ecg,10,15,133,1.057420253753662,1.5425058603286743,-0.38209426403045654,-0.2800486087799072,1.0296714305877686,0.39568984508514404,1.0316240787506104,0.19868925213813782,softsign_pca
ecg,10,16,75,0.9962393641471863,1.5136809349060059,-0.38949334621429443,0.24347400665283203,0.9842883348464966,0.29813331365585327,1.0014803409576416,0.10435910522937775,softsign_pca
ecg,10,17,157,0.774444580078125,0.9796799421310425,0.43604791164398193,0.8513220548629761,0.9499903917312622,0.35580530762672424,1.0125298500061035,0.8283230662345886,softsign_pca
ecg,10,18,29,0.9229453206062317,1.35472571849823,-0.0783916711807251,0.4270094037055969,0.9497319459915161,0.31505656242370605,1.0125298500061035,0.25780272483825684,softsign_pca
ecg,10,19,45,0.979805588722229,1.4960085153579712,-0.39043593406677246,0.6405195593833923,0.9489763975143433,0.14397068321704865,0.9766092300415039,0.10553798824548721,softsign_pca
ecg,10,20,144,0.9838913083076477,1.5105834007263184,-0.36350011825561523,-0.4554084837436676,0.9703483581542969,0.288347065448761,0.9923335909843445,0.21475645899772644,softsign_pca
ecg,10,21,16,0.9687824249267578,1.3303216695785522,-0.05749678611755371,0.23279468715190887,0.9781008958816528,0.10761529207229614,0.9923335909843445,0.15009966492652893,softsign_pca
ecg,10,22,99,0.9979552030563354,1.5218249559402466,-0.4203289747238159,-0.6219937205314636,0.9889557957649231,0.06050315871834755,1.0053374767303467,0.13063101470470428,softsign_pca
ecg,10,23,113,0.9908456802368164,1.5200423002243042,-0.41299569606781006,0.3306161165237427,0.9477189779281616,-0.1466130018234253,0.9760578870773315,0.20445415377616882,softsign_pca
ecg,10,24,54,0.9465397000312805,1.4877654314041138,-0.3948664665222168,0.3633381128311157,0.8860886693000793,0.4143969714641571,0.946820855140686,0.1060599833726883,softsign_pca
ecg,10,25,72,1.0135506391525269,1.523144245147705,-0.4291781187057495,0.039620522409677505,0.9519587755203247,0.20588865876197815,1.0095679759979248,1.66864812374115,softsign_pca
ecg,10,26,96,0.9928733110427856,1.5336854457855225,-0.4118027687072754,0.2681984603404999,0.9421817660331726,-0.0016706690657883883,0.9896750450134277,0.1256553828716278,softsign_pca
ecg,10,27,180,1.205122709274292,1.4520468711853027,-0.2302846908569336,-0.010107412002980709,0.9933772087097168,0.04386792331933975,1.0435577630996704,0.7239806056022644,softsign_pca
ecg,10,28,52,1.029734492301941,1.5444228649139404,-0.3917999267578125,0.18824556469917297,0.9848855137825012,0.22371816635131836,1.0435577630996704,0.13074932992458344,softsign_pca
ecg,10,29,60,0.977777361869812,1.5114351511001587,-0.43652331829071045,0.17577707767486572,0.9569239616394043,0.15764211118221283,0.9685689210891724,0.24718013405799866,softsign_pca
ecg,10,30,136,0.7576010227203369,0.921873927116394,0.47463858127593994,0.8766703009605408,0.9360902905464172,0.15507614612579346,0.9718755483627319,0.9391724467277527,softsign_pca
